Country ,Year ,COAL_TJ,NG_TJ,HDR_TJ,NUC_TJ,REN_TJ,BW_TJ,OIL_TJ,TES_TJ,CO2_MT,Income_Group,Region_Group,GDP_cap,Population,Income_Level
Ireland,2008,97020,189155,3485,0,8811,11774,310488,620733,43.81,OECD,EU,62401.40504,4489544,H
Ireland,2009,86148,178737,3246,0,10866,14184,306542,599723,39.27,OECD,EU,58623.11823,4535375,H
Ireland,2010,81830,196855,2157,0,10448,15499,292740,599529,39.24,OECD,EU,59285.80829,4560155,H
Ireland,2011,82073,173221,2544,0,16133,15364,260022,549357,35.54,OECD,EU,60001.07774,4580084,H
Ireland,2012,98455,168785,2888,0,14832,17802,246060,548822,35.84,OECD,EU,59508.99675,4599533,H
Ireland,2013,85362,161310,2158,0,16775,19940,248656,534201,34.58,OECD,EU,60494.1627,4623816,H
Ireland,2014,84331,156260,2551,0,18958,22337,239234,523671,34.09,OECD,EU,65660.18269,4657740,H
Ireland,2015,93636,157380,2903,0,24148,22312,253130,553509,35.43,OECD,EU,81053.35274,4701957,H
Ireland,2016,90644,177799,2451,0,22652,23882,269484,586912,37.22,OECD,EU,81123.40554,4755335,H
Ireland,2017,77389,180558,2489,0,27363,29341,261866,579006,35.89,OECD,EU,88309.35181,4807388,H
Ireland,2018,61648,187886,2498,0,31734,32052,262129,577947,35.56,OECD,EU,93802.38821,4867316,H
Ireland,2019,43449,190922,3191,0,36763,32819,262432,569576,33.9,OECD,EU,97192.1872,4934340,H
Ireland,2020,43169,190694,3357,0,42358,33048,242927,555553,31.92,OECD,EU,103082.7924,4985382,H
Ireland,2021,53114,183250,2697,0,36074,32654,261478,569267,33.68,OECD,EU,118701.844,5033164,H
Ireland,2022,44546,186700,2524,0,41472,35392,255565,566199,32.96,OECD,EU,125625.3198,5165700,H
Croatia,2000,18073,92503,23230,0,47,41973,164051,339877,16.72,EEA,EU,21303.80475,4468302,UM
Croatia,2001,20094,96933,25851,0,50,45975,168029,356932,17.75,EEA,EU,22828.2901,4299642,UM
Croatia,2002,24251,99241,21063,0,60,44033,175423,364071,18.83,EEA,EU,24138.87572,4302174,UM
Croatia,2003,27190,98646,19648,0,71,50827,193366,389748,20.18,EEA,EU,25475.76431,4303399,UM
Croatia,2004,28889,102917,27457,0,91,49963,181495,390812,19.57,EEA,EU,26530.82294,4304600,UM
Croatia,2005,28620,99518,25329,0,131,52397,186053,392048,19.91,EEA,EU,27643.22314,4310145,UM
Croatia,2006,26570,98420,23821,0,180,48725,189872,387588,19.96,EEA,EU,29041.07193,4311159,UM
Croatia,2007,28854,113089,16920,0,400,47294,193659,400216,21.21,EEA,EU,30513.99,4310217,UM
Croatia,2008,29690,107883,20811,0,443,47401,182828,389056,20.16,EEA,EU,31118.38186,4309705,H
Croatia,2009,21208,100620,26672,0,518,49763,179717,378498,19.06,EEA,EU,29028.46082,4305181,H
Croatia,2010,28587,110211,32853,0,1003,52889,152411,377954,18.24,EEA,EU,28706.23555,4295427,H
Croatia,2011,29429,107610,18118,0,1264,52150,148701,357272,17.95,EEA,EU,28777.36139,4280622,H
Croatia,2012,26441,101037,17413,0,1781,54324,132650,333646,16.36,EEA,EU,28262.51855,4260368,H
Croatia,2013,28251,95536,31039,0,2531,53976,127592,338925,15.87,EEA,EU,28403.37567,4233922,H
Croatia,2014,27078,84548,32425,0,3469,48463,125749,321732,15.01,EEA,EU,28462.4234,4201598,H
Croatia,2015,25345,87165,23007,0,3878,55563,131471,326429,15.43,EEA,EU,29473.50609,4151725,H
Croatia,2016,27262,90876,24670,0,4751,54838,131414,333811,15.8,EEA,EU,30826.69442,4106867,UM
Croatia,2017,16426,104388,19106,0,5501,55187,139836,340444,16.12,EEA,EU,32353.79763,4041407,H
Croatia,2018,15293,95970,27723,0,6052,57829,133055,335922,15.22,EEA,EU,33732.88204,3988775,H
Croatia,2019,17639,100733,20973,0,8170,60824,128924,337263,15.34,EEA,EU,35125.57802,3949390,H
Croatia,2020,15122,105725,20384,0,9673,62760,114573,328237,14.41,EEA,EU,32495.55928,3914206,H
Croatia,2021,17389,101706,25659,0,10766,69983,119556,345059,15.09,EEA,EU,36932.66803,3878981,H
Croatia,2022,17018,89298,19654,0,10641,64235,130120,330966,15.67,EEA,EU,39864.16182,3855641,H
Cyprus,2000,1354,0,0,0,1486,428,86595,89863,6.36,EEA,EU,36125.12891,947667,H
Cyprus,2001,1422,0,0,0,1441,482,85552,88897,6.25,EEA,EU,37150.40234,964127,H
Cyprus,2002,1399,0,0,0,1474,522,86755,90150,6.4,EEA,EU,38094.41797,981440,H
Cyprus,2003,1446,0,0,0,1513,625,94567,98151,7.08,EEA,EU,38621.5,999590,H
Cyprus,2004,1636,0,0,0,1660,627,88248,92171,6.97,EEA,EU,40023.77344,1017875,H
Cyprus,2005,1493,0,0,0,1732,654,89891,93770,7.11,EEA,EU,41366.07813,1036151,H
Cyprus,2006,1624,0,0,0,1816,594,93498,97532,7.18,EEA,EU,42599.32422,1054418,H
Cyprus,2007,1394,0,0,0,2247,1096,98279,103016,7.49,EEA,EU,43827.93359,1072714,H
Cyprus,2008,1175,0,0,0,2357,2001,104060,109593,7.67,EEA,EU,44299.76953,1091026,H
Cyprus,2009,609,0,0,0,2440,2275,102040,107364,7.6,EEA,EU,42257.26172,1109371,H
Cyprus,2010,702,0,0,0,2682,2167,97976,103527,7.34,EEA,EU,42106.50391,1127816,H
Cyprus,2011,312,0,0,0,3080,2145,94949,100486,7.09,EEA,EU,41216.82031,1146493,H
Cyprus,2012,5,0,0,0,3445,2198,88822,94470,6.59,EEA,EU,39194.15234,1165397,H
Cyprus,2013,5,0,0,0,3752,2082,75764,81603,5.68,EEA,EU,36697.45313,1183895,H
Cyprus,2014,92,0,0,0,3755,2207,77449,83503,5.84,EEA,EU,36444.61719,1201801,H
Cyprus,2015,154,0,0,0,4095,2884,78511,85644,5.97,EEA,EU,37905.83594,1219502,H
Cyprus,2016,0,0,0,0,4228,3158,83870,91256,6.34,EEA,EU,40212.73828,1237112,H
Cyprus,2017,124,0,0,0,4320,3998,85768,94210,6.44,EEA,EU,42131.57813,1254275,H
Cyprus,2018,569,0,0,0,4529,4415,84847,94360,6.35,EEA,EU,44231.07422,1270737,H
Cyprus,2019,720,0,0,0,4706,4765,84514,94705,6.4,EEA,EU,46198.89453,1286671,H
Cyprus,2020,586,0,0,0,5043,6029,77680,89338,5.89,EEA,EU,44207.05078,1302247,H
Cyprus,2021,1679,0,0,0,5741,6320,78156,91896,6.02,EEA,EU,48784.57813,1317309,H
Cyprus,2022,1280,0,0,0,6192,6467,79857,93796,6.08,EEA,EU,51669.30078,1331370,H
Malta,2000,0,0,0,0,0,0,28282,28282,2.13,EEA,EU,31025.56079,390087,H
Malta,2001,0,0,0,0,0,0,32932,32932,2.49,EEA,EU,30560.39355,393028,UM
Malta,2002,0,0,0,0,9,0,30691,30700,2.32,EEA,EU,31164.88607,395969,H
Malta,2003,0,0,0,0,13,0,34555,34568,2.61,EEA,EU,32104.3418,398582,H
Malta,2004,0,0,0,0,16,0,34702,34718,2.6,EEA,EU,32019.28335,401268,H
Malta,2005,0,0,0,0,22,0,35517,35539,2.63,EEA,EU,32732.33922,403834,H
Malta,2006,0,0,0,0,27,0,35528,35555,2.65,EEA,EU,33375.18692,405308,H
Malta,2007,0,0,0,0,33,0,36259,36292,2.72,EEA,EU,34934.13565,406724,H
Malta,2008,0,0,0,0,37,0,36878,36915,2.72,EEA,EU,36238.22043,409379,H
Malta,2009,0,0,0,0,39,0,33696,33735,2.51,EEA,EU,35464.1957,412477,H
Malta,2010,0,0,0,0,153,59,34890,35102,2.59,EEA,EU,37477.49846,414508,H
Malta,2011,0,0,0,0,176,169,34551,34896,2.57,EEA,EU,37689.23323,416268,H
Malta,2012,0,0,0,0,234,260,36484,36978,2.72,EEA,EU,38884.24062,420028,H
Malta,2013,0,0,0,0,287,243,31877,32407,2.37,EEA,EU,40754.47721,425967,H
Malta,2014,0,0,0,0,439,336,31773,32548,2.36,EEA,EU,42997.32421,434558,H
Malta,2015,0,0,0,0,543,340,22268,23151,1.66,EEA,EU,46022.64686,445053,H
Malta,2016,0,0,0,0,667,361,18435,19463,1.35,EEA,EU,46815.53906,455356,H
Malta,2017,0,10120,0,0,793,444,13922,25279,1.52,EEA,EU,51459.72286,467999,H
Malta,2018,0,12264,0,0,894,561,12565,26284,1.55,EEA,EU,53266.31876,484630,H
Malta,2019,0,12820,0,0,915,607,13757,28099,1.66,EEA,EU,53304.75359,504062,H
Malta,2020,0,13324,0,0,1067,730,12232,27353,1.61,EEA,EU,50327.34309,515332,H
Malta,2021,0,13360,0,0,1071,611,12688,27730,1.62,EEA,EU,56748.73028,518536,H
Malta,2022,0,13514,0,0,1176,675,14713,30078,1.78,EEA,EU,57659.81583,531511,H
Poland,2000,2359394,416992,7581,0,142,155752,802130,3741991,289.59,OECD,EU,18566.35463,38258629,UM
Poland,2001,2334981,434447,8369,0,170,166093,824394,3768454,288.64,OECD,EU,18800.60186,38248076,UM
Poland,2002,2296716,423419,8204,0,483,169773,828452,3727047,282.61,OECD,EU,19166.91371,38230364,UM
Poland,2003,2352644,471462,6015,0,758,172389,832897,3836165,293.13,OECD,EU,19855.6318,38204570,UM
Poland,2004,2268049,497415,7495,0,833,177823,892047,3843662,296.74,OECD,EU,20878.6545,38182222,UM
Poland,2005,2288377,512234,7923,0,968,185498,902562,3897562,296.26,OECD,EU,21568.94766,38165445,UM
Poland,2006,2389017,526763,7351,0,1467,199572,968932,4093102,308.08,OECD,EU,22921.19759,38141267,UM
Poland,2007,2328605,523124,8467,0,2333,200983,992432,4055944,306.29,OECD,EU,24484.06567,38120560,UM
Poland,2008,2297904,526108,7747,0,3598,231487,1027128,4093972,301.6,OECD,EU,25553.90584,38125759,UM
Poland,2009,2155159,505026,8549,0,4812,263005,1005776,3942327,291.47,OECD,EU,26204.41037,38151603,H
Poland,2010,2291764,536108,10512,0,6973,303496,1063644,4212497,307.49,OECD,EU,27112.13338,38042794,H
Poland,2011,2287020,537434,8391,0,12591,329759,1070649,4245844,303.19,OECD,EU,28521.66126,38063255,H
Poland,2012,2125204,572766,7333,0,18373,352321,1019105,4095102,296.94,OECD,EU,28952.91573,38063164,H
Poland,2013,2220974,575091,8780,0,23431,345414,930353,4104043,292.41,OECD,EU,29168.62421,38040196,H
Poland,2014,2063906,561216,7858,0,29960,344148,920892,3927980,279.26,OECD,EU,30334.87866,38011735,H
Poland,2015,2023504,576764,6595,0,42088,348796,976349,3974096,282.71,OECD,EU,31700.36824,37986412,H
Poland,2016,2059379,612671,7704,0,48882,340925,1079846,4149407,293.21,OECD,EU,32675.30523,37970087,H
Poland,2017,2069125,646642,9214,0,57494,340831,1215344,4338650,305.73,OECD,EU,34354.59876,37974826,H
Poland,2018,2067674,675083,7091,0,50531,490086,1244547,4535012,304.04,OECD,EU,36500.41143,37974750,H
Poland,2019,1842295,679430,7050,0,61001,497652,1262627,4350055,287.2,OECD,EU,38181.62303,37965475,H
Poland,2020,1711033,716233,7626,0,68357,497719,1210211,4211179,272.5,OECD,EU,37469.9481,37899070,H
Poland,2021,1901241,763282,8421,0,77360,487996,1279776,4518076,299.43,OECD,EU,41059.58478,36981559,H
Poland,2022,1771876,629862,7085,0,106239,479139,1333275,4327476,284.99,OECD,EU,43405.02158,36821749,H
Slovenia,2000,54677,34565,13802,51938,195,23711,99089,277977,14.05,OECD,EU,30063.11847,1988925,H
Slovenia,2001,60029,35585,13665,57349,197,27257,102903,296985,14.88,OECD,EU,30864.85982,1992060,H
Slovenia,2002,65647,34324,11923,60305,199,22848,99821,295067,15.08,OECD,EU,31838.54727,1994530,H
Slovenia,2003,62488,37962,10645,56803,196,25658,101407,295159,14.96,OECD,EU,32835.99375,1995733,H
Slovenia,2004,64405,37628,14738,59552,196,25560,104888,306967,15.23,OECD,EU,34306.73837,1997012,H
Slovenia,2005,64446,38888,12459,64189,205,30164,106066,316417,15.43,OECD,EU,35567.30444,2000474,H
Slovenia,2006,65508,37649,12927,60523,221,26963,109877,313668,15.78,OECD,EU,37548.88438,2006868,H
Slovenia,2007,66924,38275,11757,62127,243,29842,107455,316623,15.74,OECD,EU,40005.24712,2018122,H
Slovenia,2008,64209,36789,14464,68432,262,31366,124693,340215,16.77,OECD,EU,41288.97289,2021316,H
Slovenia,2009,59783,34814,16973,62607,335,29889,106715,311116,15.09,OECD,EU,37811.57845,2039669,H
Slovenia,2010,60850,36125,16264,61712,1201,31651,107725,315528,15.42,OECD,EU,38065.73583,2048583,H
Slovenia,2011,61336,30882,12823,67800,1407,31668,106921,312837,15.39,OECD,EU,38235.72319,2052843,H
Slovenia,2012,58297,29729,14036,60305,1653,31280,103914,299214,14.81,OECD,EU,37043.06473,2057159,H
Slovenia,2013,56616,28966,16664,57818,1864,32810,97567,292305,14.16,OECD,EU,36688.08323,2059953,H
Slovenia,2014,43904,26209,21931,69490,2053,29102,96584,289273,12.69,OECD,EU,37664.65108,2061980,H
Slovenia,2015,44708,27813,13708,61614,1972,31283,94841,275939,12.77,OECD,EU,38537.09525,2063531,H
Slovenia,2016,48042,29519,16210,62345,1956,30980,99807,288859,13.56,OECD,EU,39677.41686,2065042,H
Slovenia,2017,47756,30925,13926,68566,2106,30470,100820,294569,13.71,OECD,EU,41703.30459,2066388,H
Slovenia,2018,47379,30342,16935,63015,1981,30105,101411,291168,13.62,OECD,EU,43371.98089,2073894,H
Slovenia,2019,44616,30798,16125,63504,2177,30482,98363,286065,13.17,OECD,EU,44580.77698,2088385,H
Slovenia,2020,42699,30795,17762,69302,2254,30333,84001,277146,11.99,OECD,EU,42474.2252,2102419,H
Slovenia,2021,39253,32454,16965,62246,2572,32980,91593,278063,12.26,OECD,EU,45914.05724,2108079,H
Slovenia,2022,31309,28618,11334,61150,3338,28756,99024,263529,11.95,OECD,EU,47064.15125,2112076,H
Indonesia,2000,502797,1112225,36057,0,350567,875090,2422723,5299459,255.01,,Asia Pacific,6056.381978,216077790,L
Indonesia,2001,601552,1155709,41957,0,434231,846738,2342311,5422498,274.28,,Asia Pacific,6190.51954,219097902,L
Indonesia,2002,642452,1228270,35758,0,449136,825561,2456648,5637825,279.92,,Asia Pacific,6381.949552,222088495,L
Indonesia,2003,646916,1301683,32756,0,453167,809550,2383640,5627712,308.63,,Asia Pacific,6599.091936,225048008,LM
Indonesia,2004,854821,1188006,34826,0,479232,786395,2714054,6057334,315.79,,Asia Pacific,6843.54655,227926649,LM
Indonesia,2005,926414,1225616,38610,0,475488,765340,2729046,6160514,317.56,,Asia Pacific,7140.854564,230871650,LM
Indonesia,2006,1109274,1231044,34642,0,479376,780902,2669118,6304356,338.97,,Asia Pacific,7434.487854,233951652,LM
Indonesia,2007,1188911,1168224,40629,0,505512,752800,2582987,6239063,355.16,,Asia Pacific,7802.464069,237062337,LM
Indonesia,2008,1079600,1248153,41500,0,598248,743452,2648860,6359813,350.57,,Asia Pacific,8165.061551,240157903,LM
Indonesia,2009,1277511,1440284,40982,0,669254,716711,2727795,6872537,365.81,,Asia Pacific,8435.455747,243220028,LM
Indonesia,2010,1333046,1625437,62841,0,673721,704924,2821545,7221514,391.65,,Asia Pacific,8848.224737,246305322,LM
Indonesia,2011,1750947,1492947,44708,0,674733,697515,2782544,7443394,450.27,,Asia Pacific,9274.969552,249470032,LM
Indonesia,2012,1568070,1465639,46076,0,678052,663665,3032892,7454394,451.39,,Asia Pacific,9708.611825,252698525,LM
Indonesia,2013,1251170,1528707,60922,0,677826,649575,3103587,7271787,422.69,,Asia Pacific,10121.81415,255852467,LM
Indonesia,2014,1510655,1532636,54583,0,722761,666195,3126982,7613812,452.86,,Asia Pacific,10504.38694,258877399,LM
Indonesia,2015,1661773,1585336,49467,0,723488,585853,2982993,7588910,458.67,,Asia Pacific,10893.66211,261799249,LM
Indonesia,2016,1819483,1636688,67237,0,767329,624046,2938748,7853531,450.27,,Asia Pacific,11319.66343,264627418,LM
Indonesia,2017,1957887,1622207,67075,0,919134,580541,3121311,8268155,475.21,,Asia Pacific,11772.57433,267346658,LM
Indonesia,2018,2327560,1630114,77890,0,1010359,816299,3326144,9188366,530.08,,Asia Pacific,12262.23103,269951846,LM
Indonesia,2019,2878785,1641714,76179,0,1017368,874919,3205358,9694323,569.44,,Asia Pacific,12757.78509,272489381,UM
Indonesia,2020,2860947,1427760,87569,0,1122861,984799,2830329,9314265,531.67,,Asia Pacific,12388.54493,274814866,LM
Indonesia,2021,2986386,1414137,88909,0,1146994,1059293,2855896,9551615,554.44,,Asia Pacific,12757.07464,276758053,LM
Indonesia,2022,3973952,1385906,98261,0,1209373,1182245,3071687,10921424,651.67,,Asia Pacific,13334.29352,278830529,UM
Nigeria,2000,1556,241109,20260,0,0,719911,466688,1449524,44.33,,Africa,3290.705661,126382494,L
Nigeria,2001,1494,212381,21272,0,0,744948,558024,1538119,49.53,,Africa,3392.035285,129862595,L
Nigeria,2002,1307,217512,29642,0,0,771147,565605,1585213,50.73,,Africa,3806.215896,133471989,L
Nigeria,2003,1432,370724,26812,0,0,801368,504310,1704646,54.6,,Africa,3974.767875,137202644,L
Nigeria,2004,1432,378329,29188,0,0,829097,452652,1690698,54.7,,Africa,4223.797948,141057045,L
Nigeria,2005,1681,387096,27964,0,0,859482,578049,1854272,57.29,,Africa,4372.975611,145017253,L
Nigeria,2006,2055,407285,22546,0,0,894449,470928,1797263,52.32,,Africa,4511.639524,149077334,L
Nigeria,2007,2926,423591,22417,0,0,957516,401318,1807768,49.07,,Africa,4677.541847,153267261,L
Nigeria,2008,6227,391133,20595,0,0,980223,496136,1894314,55.62,,Africa,4856.812801,157595014,LM
Nigeria,2009,6227,343557,16304,0,0,1001273,399063,1766424,46.87,,Africa,5102.916404,162049464,LM
Nigeria,2010,6227,382788,22946,0,0,1072426,850602,2334989,59.4,,Africa,5359.518484,166642886,LM
Nigeria,2011,7472,528230,21178,0,0,1135695,1005844,2698419,69.5,,Africa,5488.004815,171379598,LM
Nigeria,2012,9963,549457,20372,0,7,1245641,806201,2631641,74.67,,Africa,5563.641676,176200625,LM
Nigeria,2013,12454,523805,19173,0,10,1207160,897836,2660438,85.98,,Africa,5775.866347,181049443,LM
Nigeria,2014,12454,597818,19245,0,17,1113783,969146,2712463,95.99,,Africa,5980.191816,185896915,LM
Nigeria,2015,13077,593631,23122,0,50,1133497,787850,2551227,91.72,,Africa,5985.094352,190671878,LM
Nigeria,2016,13700,629963,29340,0,72,1156530,883604,2713209,97.32,,Africa,5744.557879,195443700,LM
Nigeria,2017,11831,593027,27888,0,102,1177072,849111,2659031,88.82,,Africa,5651.734132,200254579,LM
Nigeria,2018,13860,628254,27701,0,121,1206712,706127,2582775,93.65,,Africa,5628.740794,204938755,LM
Nigeria,2019,14020,642276,30359,0,185,1231545,987191,2905576,97.79,,Africa,5628.177652,209485641,LM
Nigeria,2020,16570,645696,27682,0,265,1279613,934054,2903880,90.4,,Africa,5410.693555,213996181,LM
Nigeria,2021,38442,696937,28594,0,366,1333146,969779,3067264,100.05,,Africa,5491.700341,218529286,LM
Nigeria,2022,35346,694056,33135,0,362,1352837,1004351,3120087,100.39,,Africa,5552.83765,223150896,LM
Egypt,2000,34780,604416,49309,0,493,118559,936391,1743948,100.1,,Africa,9981.627751,73083284,LM
Egypt,2001,30435,793952,54467,0,795,119977,982467,1982093,111.73,,Africa,10117.33318,74652029,LM
Egypt,2002,32657,890567,46292,0,734,121479,942326,2034055,113.49,,Africa,10143.50635,76239137,LM
Egypt,2003,33842,977162,46868,0,1324,123005,931276,2113477,117.82,,Africa,10250.37655,77853548,LM
Egypt,2004,34572,956197,45518,0,1882,124387,1142570,2305126,128.53,,Africa,10451.82175,79477443,LM
Egypt,2005,33842,1255451,45518,0,1987,125762,1184051,2646611,145.03,,Africa,10700.60904,81101004,LM
Egypt,2006,35257,1350804,46530,0,2217,127439,1230647,2792894,152.13,,Africa,11211.83202,82700403,LM
Egypt,2007,32326,1484279,55835,0,2991,128747,1276526,2980704,163.59,,Africa,11782.00607,84276225,LM
Egypt,2008,28827,1524223,52855,0,3286,129554,1352402,3091147,170.86,,Africa,12391.58476,85864789,LM
Egypt,2009,25612,1496352,46306,0,4078,131164,1458689,3162201,174.45,,Africa,12728.08146,87501636,LM
Egypt,2010,24343,1499296,46965,0,6134,132620,1425225,3134583,176.92,,Africa,13128.98783,89196072,LM
Egypt,2011,40796,1634196,46562,0,6292,134153,1423108,3285107,182.79,,Africa,13082.42637,91093059,LM
Egypt,2012,42645,1638323,47235,0,4895,135000,1513573,3381671,189.23,,Africa,13076.80524,93161001,LM
Egypt,2013,17714,1573418,48067,0,5205,134718,1512309,3291431,189.37,,Africa,13058.07482,95333553,LM
Egypt,2014,16288,1461613,49759,0,6076,135874,1732223,3401833,193.35,,Africa,13136.36563,97528654,LM
Egypt,2015,14658,1539581,48762,0,8013,137186,1629825,3378025,199.54,,Africa,13425.91196,99597342,LM
Egypt,2016,50275,1735931,46259,0,10008,138248,1732555,3713276,207.51,,Africa,13727.32016,101644589,LM
Egypt,2017,90603,2046195,45813,0,10335,140109,1558102,3891157,218.16,,Africa,14018.36059,103696057,LM
Egypt,2018,120688,2167323,47235,0,16354,140602,1361846,3854048,212.81,,Africa,14488.20943,105682094,LM
Egypt,2019,87684,2156617,54136,0,31186,141417,1334796,3805836,194.54,,Africa,15026.56824,107553158,LM
Egypt,2020,42706,2020880,53168,0,36727,138756,1397301,3689538,205.03,,Africa,15309.23599,109315124,LM
Egypt,2021,78823,2248479,52725,0,37933,138035,1563744,4119739,218.93,,Africa,15579.01609,110957008,LM
Egypt,2022,76047,2197587,52725,0,38531,138933,1747159,4250982,217.81,,Africa,16360.39078,112618250,LM
Ethiopia,2000,0,0,5925,0,179,974615,45507,1026226,3.2,,Africa,810.2707077,67411494,L
Ethiopia,2001,0,0,7171,0,35,1003505,56923,1067634,4.04,,Africa,851.3133849,69487762,L
Ethiopia,2002,0,0,7282,0,0,1033371,59340,1099993,4.21,,Africa,838.2980041,71635517,L
Ethiopia,2003,0,0,8207,0,0,1063846,64377,1136430,4.57,,Africa,795.7720976,73832663,L
Ethiopia,2004,0,0,9075,0,0,1094844,67525,1171444,4.81,,Africa,877.1144501,76077206,L
Ethiopia,2005,0,0,10198,0,0,1126380,62296,1198874,4.43,,Africa,952.1156176,78367470,L
Ethiopia,2006,0,0,11732,0,0,1158672,66426,1236830,4.73,,Africa,1024.729067,80703490,L
Ethiopia,2007,0,0,12186,0,0,1192186,74907,1279279,5.33,,Africa,1109.143246,83103217,L
Ethiopia,2008,419,0,11865,0,503,1226394,81205,1320386,5.79,,Africa,1193.747222,85543668,L
Ethiopia,2009,1137,0,12729,0,864,1261677,81449,1357856,5.89,,Africa,1262.463915,88007636,L
Ethiopia,2010,1334,0,17812,0,647,1297947,78567,1396307,5.85,,Africa,1381.190376,90538514,L
Ethiopia,2011,4488,0,22550,0,396,1335312,86775,1449521,6.76,,Africa,1492.533888,93149970,L
Ethiopia,2012,6270,0,26600,0,698,1371858,87997,1493423,7.17,,Africa,1576.768677,95798767,L
Ethiopia,2013,8145,0,30020,0,1303,1408661,104089,1552218,8.39,,Africa,1696.865069,98438751,L
Ethiopia,2014,11337,0,32446,0,1854,1447323,119263,1612223,10.01,,Africa,1821.391524,101115610,L
Ethiopia,2015,11840,0,34826,0,2797,1482536,123302,1655301,10.11,,Africa,1957.414442,103867135,L
Ethiopia,2016,14904,0,42310,0,2890,1519403,139240,1718747,11.88,,Africa,2084.840449,106718162,L
Ethiopia,2017,14500,0,45651,0,1999,1555670,141660,1759480,11.62,,Africa,2222.828131,109666481,L
Ethiopia,2018,16670,0,49158,0,3124,1591737,157671,1818360,13.04,,Africa,2311.164998,112664152,L
Ethiopia,2019,17900,0,51853,0,2263,1628129,175564,1875709,14.45,,Africa,2437.970335,115737383,L
Ethiopia,2020,19484,0,53794,0,3060,1664228,160558,1901124,13.53,,Africa,2516.548947,118917671,L
Ethiopia,2021,25498,0,53576,0,2140,1666518,170284,1918016,14.86,,Africa,2588.412969,122138588,L
Ethiopia,2022,27120,0,60374,0,2033,1735647,165058,1990232,14.64,,Africa,2655.577916,125384287,L
Vietnam,2000,183066,46874,52383,0,0,594116,326798,1203237,44.24,,Asia Pacific,4349.223488,77154011,L
Vietnam,2001,210357,46951,65556,0,0,602849,357471,1283184,48.81,,Asia Pacific,4570.268466,77969361,L
Vietnam,2002,230966,96877,65512,0,0,602849,404048,1400252,57.19,,Asia Pacific,4809.621511,78772224,L
Vietnam,2003,243838,113393,68349,0,0,615091,429480,1470151,60.32,,Asia Pacific,5090.289909,79563777,L
Vietnam,2004,307470,152609,64144,0,0,616897,491695,1632815,73.55,,Asia Pacific,5421.097028,80338971,L
Vietnam,2005,345933,196432,61001,0,0,619374,504769,1727509,79.23,,Asia Pacific,5776.363045,81088313,L
Vietnam,2006,371917,214433,73468,0,0,618245,490420,1768483,81.58,,Asia Pacific,6098.244954,82167897,L
Vietnam,2007,398514,228507,82926,0,0,617465,570325,1897737,90,,Asia Pacific,6418.543814,83633375,L
Vietnam,2008,491482,266221,93549,0,3,616524,560814,2028593,101.24,,Asia Pacific,6659.135614,85175788,L
Vietnam,2009,528137,297305,107931,0,35,616373,663550,2213331,111.99,,Asia Pacific,6914.338636,86460018,LM
Vietnam,2010,613414,340132,99180,0,179,615885,768170,2436960,126.66,,Asia Pacific,7274.733107,87455152,LM
Vietnam,2011,653412,316521,147326,0,313,616664,709693,2443929,126.37,,Asia Pacific,7652.618957,88468314,LM
Vietnam,2012,659679,345537,190062,0,313,617582,671319,2484492,125.61,,Asia Pacific,7979.868289,89510356,LM
Vietnam,2013,721352,356798,187038,0,313,618527,666054,2550082,131.93,,Asia Pacific,8324.198713,90573104,LM
Vietnam,2014,834389,382003,215427,0,316,619255,805491,2856881,145.96,,Asia Pacific,8751.882806,91679578,LM
Vietnam,2015,1021818,330714,202042,0,450,355970,726032,2637026,165.21,,Asia Pacific,9248.023961,92823254,LM
Vietnam,2016,1137819,377105,230187,0,728,383710,773603,2903152,184.17,,Asia Pacific,9743.188223,94000117,LM
Vietnam,2017,1147220,345745,309384,0,1264,383269,829016,3015898,185.93,,Asia Pacific,10290.54871,95176977,LM
Vietnam,2018,1560576,346039,299091,0,1837,402485,952660,3562688,236.09,,Asia Pacific,10936.89379,96237319,LM
Vietnam,2019,1948895,357636,238021,0,19957,391541,1056138,4012188,284.07,,Asia Pacific,11628.61391,97173776,LM
Vietnam,2020,2125915,309781,262411,0,38011,313793,1015219,4065130,294.35,,Asia Pacific,11851.39657,98079191,LM
Vietnam,2021,1956801,264107,282790,0,112093,406934,959952,3982677,281.13,,Asia Pacific,12048.90199,98935098,LM
Vietnam,2022,1923525,319410,345344,0,134961,393190,1144865,4261295,286.65,,Asia Pacific,12930.25622,99680655,LM
Peru,2000,26418,20679,58204,0,2220,145346,310631,563498,26.4,,Central South America,7670.46012,26598331,LM
Peru,2001,23981,21294,63381,0,2252,146176,288311,545395,24.34,,Central South America,7613.020863,26964601,LM
Peru,2002,32803,23339,64944,0,2286,143900,278940,546212,25.53,,Central South America,7932.991264,27288217,LM
Peru,2003,32356,25802,66722,0,2320,143166,266103,536469,24.88,,Central South America,8175.83415,27580490,LM
Peru,2004,38037,40320,63090,0,2354,141471,297673,582945,28.77,,Central South America,8497.498349,27852190,LM
Peru,2005,40107,68053,65084,0,2326,141607,300658,617835,28.63,,Central South America,8951.547172,28101180,LM
Peru,2006,32976,77878,70930,0,2340,141042,271622,596788,28.03,,Central South America,9549.612436,28324491,LM
Peru,2007,42761,108783,70376,0,298,142114,270745,635077,30.92,,Central South America,10288.18539,28530699,LM
